,date,private,foreign,institution
556,14-11-18,699,-1324,189
557,13-11-18,241,-3030,2755
558,12-11-18,-1158,385,679
559,09-11-18,2288,477,-3097
560,08-11-18,-2749,4902,-2285
561,07-11-18,969,-638,-603
562,06-11-18,1718,30,-1876
563,05-11-18,5175,-638,-4728
564,02-11-18,-4638,4408,126
565,01-11-18,1088,2923,-4205
566,31-10-18,2585,1355,-4123
567,30-10-18,-3582,-1862,5199
568,29-10-18,-4880,-1593,6364
569,26-10-18,573,-1752,1040
570,25-10-18,-2814,-3631,6311
571,24-10-18,-2612,-3309,5809
572,23-10-18,6413,-5624,-992
573,22-10-18,648,-1111,450
574,19-10-18,-169,-1715,1879
575,18-10-18,2641,-537,-2166
576,17-10-18,-51,64,27
577,16-10-18,1695,-664,-1271
578,15-10-18,2990,224,-3271
579,12-10-18,-1006,735,-59
580,11-10-18,2165,-4836,2439
581,10-10-18,1008,-2297,1156
582,08-10-18,1330,-1782,318
583,05-10-18,2024,-3307,1116
584,04-10-18,5811,-5294,-602
585,02-10-18,3089,-2411,-849
586,01-10-18,1242,-541,-877
587,28-09-18,1305,-2249,648
588,27-09-18,-1362,2283,-1298
589,21-09-18,-2021,8233,-772
590,20-09-18,-4134,2929,998
591,19-09-18,-1095,3865,137
592,18-09-18,-475,-828,996
593,17-09-18,690,1755,-2741
594,14-09-18,-4833,2036,2713
595,13-09-18,388,-2690,1987
596,12-09-18,1840,-4152,1988
597,11-09-18,1923,-1891,-430
598,10-09-18,-412,1211,-1239
599,07-09-18,2196,-7719,5057
600,06-09-18,1148,-2933,1134
601,05-09-18,2473,-971,-1967
602,04-09-18,-340,219,-133
603,03-09-18,2376,-2173,-727
604,31-08-18,-1687,3967,-2643
605,30-08-18,660,2223,-3215
606,29-08-18,-2217,1146,4282
607,28-08-18,-1647,1426,-449
608,27-08-18,-2427,2373,-432
609,24-08-18,-1995,770,582
610,23-08-18,-448,1751,-1932
611,22-08-18,1368,2082,-4206
612,21-08-18,-1512,1064,-171
613,20-08-18,-98,-549,87
614,17-08-18,859,1020,-2534
615,16-08-18,1783,-2417,-70
616,14-08-18,-1321,-121,918
617,13-08-18,1029,-1738,151
618,10-08-18,1519,-1147,-857
619,09-08-18,140,-2243,1427
620,08-08-18,-1248,3585,-1157
621,07-08-18,-62,577,-1097
622,06-08-18,179,41,-671
623,03-08-18,-886,1433,-804
624,02-08-18,3740,-490,-3751
625,01-08-18,-651,1725,-1416
626,31-07-18,-317,-749,798
627,30-07-18,32,1622,-2002
628,27-07-18,-845,1626,-799
629,26-07-18,-1706,1276,404
630,25-07-18,-1283,-1486,2784
631,24-07-18,-3043,631,2397
632,23-07-18,-1418,-325,2330
633,20-07-18,526,-1212,650
634,19-07-18,-321,525,-188
635,18-07-18,1637,925,-2639
636,17-07-18,1342,-888,522
637,16-07-18,2883,-452,-2657
638,13-07-18,-1374,2239,-941
639,12-07-18,880,-180,-858
640,11-07-18,1351,2018,-1251
641,10-07-18,193,329,-1158
642,09-07-18,-752,-594,1222
643,06-07-18,-1030,-3820,4589
644,05-07-18,319,-947,455
645,04-07-18,1292,10,-1536
646,03-07-18,-467,2018,-1795
647,02-07-18,2427,1156,-4010
648,29-06-18,-553,1652,-1398
649,28-06-18,1130,-2889,1408
650,27-06-18,802,1587,-2660
651,26-06-18,1169,-3237,2678
652,25-06-18,87,-1100,1002
653,22-06-18,-88,60,-247
654,21-06-18,4107,-1282,-3037
655,20-06-18,-1179,1136,-175
656,19-06-18,1406,-2151,318
657,18-06-18,-1124,-3206,4293
658,15-06-18,2670,-5500,2759
659,14-06-18,5021,-4703,-537
660,12-06-18,-93,-1223,1258
661,11-06-18,-2575,-106,2816
662,08-06-18,5015,1304,-6616
663,07-06-18,-3160,1379,1722
664,05-06-18,920,-86,-950
665,04-06-18,-912,177,548
666,01-06-18,-1315,2389,-1234
667,31-05-18,2412,9507,-12383
668,30-05-18,10151,-6857,-4069
669,29-05-18,3115,-2294,-1205
670,28-05-18,2649,-1618,-1385
671,25-05-18,-4810,3310,1206
672,24-05-18,851,328,-2057
673,23-05-18,-712,2738,-2622
674,21-05-18,69,-761,332
675,18-05-18,-1541,-387,1513
676,17-05-18,1455,-2696,1057
677,16-05-18,-1750,112,2486
678,15-05-18,3949,-2382,-1969
679,14-05-18,-1011,-947,1692
680,11-05-18,-4180,1990,1856
681,10-05-18,-730,-409,806
682,09-05-18,-414,-2303,2409
683,08-05-18,1015,-334,-1252
684,04-05-18,7640,-224,-7256
685,03-05-18,2597,-3239,188
686,02-05-18,2791,-1632,-1203
687,30-04-18,-1892,2432,-112
688,27-04-18,2576,1611,-4116
689,26-04-18,14,1710,-1654
690,25-04-18,6137,-7620,70
691,24-04-18,2707,-4388,1684
692,23-04-18,3143,-2946,92
693,20-04-18,3422,-4884,1612
694,19-04-18,646,1814,-2406
695,18-04-18,-3882,3439,525
696,17-04-18,2220,-2760,487
697,16-04-18,658,-366,-108
698,13-04-18,-36,543,-470
699,12-04-18,-731,2346,-1518
700,11-04-18,1981,4640,-980
701,10-04-18,327,-1207,1108
702,09-04-18,-558,-565,1140
703,06-04-18,2289,-2392,194
704,05-04-18,-2736,1475,1203
705,04-04-18,5286,-1989,-3490
706,03-04-18,1289,-1064,-165
707,02-04-18,738,-269,-216
708,30-03-18,-1153,-1717,2966
709,29-03-18,5778,-2704,339
710,28-03-18,2766,-2464,-331
711,27-03-18,-898,144,762
712,26-03-18,520,-1010,465
713,23-03-18,7518,-1317,-6438
714,22-03-18,-2987,2081,821
715,21-03-18,-637,-657,1300
716,20-03-18,63,-1235,1047
717,19-03-18,1483,-833,-531
718,16-03-18,12,1638,-596
719,15-03-18,194,-421,296
720,14-03-18,2841,-1295,-1429
721,13-03-18,-3103,5818,-2650
722,12-03-18,-2917,1938,1009
723,09-03-18,-4900,1989,2916
724,08-03-18,-4264,-1742,5949
725,07-03-18,3585,-2595,-1036
726,06-03-18,-1713,131,1608
727,05-03-18,3204,-889,-2135
728,02-03-18,5344,-2327,-2732
729,28-02-18,1075,1437,-2646
730,27-02-18,-1895,44,2045
731,26-02-18,-1373,-1824,3518
732,23-02-18,-5230,1556,3767
733,22-02-18,1996,-977,-1074
734,21-02-18,74,-1016,1144
735,20-02-18,2550,290,-2978
736,19-02-18,-730,263,346
737,14-02-18,-2054,1035,1110
738,13-02-18,-1661,3297,-1859
739,12-02-18,971,-790,-175
740,09-02-18,2761,-3152,203
741,08-02-18,2437,908,-3483
742,07-02-18,9264,-1914,-7395
743,06-02-18,1565,-2810,1079
744,05-02-18,4955,-4554,-419
745,02-02-18,7374,-4640,-2810
746,01-02-18,2170,-2722,293
747,31-01-18,7941,-6642,-1844
748,30-01-18,2534,-1223,-1433
749,29-01-18,-7116,3226,3614
750,26-01-18,-3853,1808,1168
751,25-01-18,-7154,3754,2999
752,24-01-18,-2813,-160,2443
753,23-01-18,-5925,2160,3405
754,22-01-18,2471,-1762,-735
755,19-01-18,-91,-814,414
756,18-01-18,915,949,-2234
757,17-01-18,1733,680,-2883
758,16-01-18,-2777,2768,-249
759,15-01-18,-698,244,145
760,12-01-18,-871,-1176,1644
761,11-01-18,3170,1756,-5447
762,10-01-18,1302,-2789,993
763,09-01-18,-2606,438,2122
764,08-01-18,-3512,3908,-873
765,05-01-18,-3705,2457,1022
766,04-01-18,442,3359,-3845
767,03-01-18,-242,3992,-3980
768,02-01-18,-267,2634,-2762
769,28-12-17,-2129,1798,307
770,27-12-17,4659,-1093,-3753
771,26-12-17,-8944,158,8725
772,22-12-17,-8491,1313,3882
773,21-12-17,-84,-3275,3112
774,20-12-17,-3681,-3075,6175
775,19-12-17,-3572,639,2846
776,18-12-17,-1294,-1676,2653
777,15-12-17,-2570,-2021,4217
778,14-12-17,-3781,3850,-148
779,13-12-17,-5119,-2055,6948
780,12-12-17,1475,-2445,623
781,11-12-17,-916,-1660,2306
782,08-12-17,388,-1042,401
783,07-12-17,-448,-3384,4915
784,06-12-17,2515,-3383,371
785,05-12-17,-3475,318,2932
786,04-12-17,-2582,1472,882
787,01-12-17,1405,-1939,898
788,30-11-17,1933,-6000,3705
789,29-11-17,-806,-1621,2025
790,28-11-17,-3766,-1639,2037
791,27-11-17,4534,-4536,-470
792,24-11-17,-1059,-1105,1773
